comment,product_id,rating,reviewer,sku,submissionTime,title
I like this little external device for listening to music with my HP Pavilion 360 laptop.,34421510,3,swimfan,1802006,8/5/14 19:43,Nice for use with laptops without hard drives
"I use my Elgato to record Call of Duty plays on my xbox 360, then post them to my youtube channel. It's fun for my friends to see some of the wicked things I'm able to do in the game.",34421489,5,chris,8838042,8/5/14 19:43,Love my Elgato
Product is amazing and great for beginners who need to learn how to workout and eat better,34421470,5,Kattiebug,6560113,8/5/14 19:40,Great for working out
I would recommend this to a friend. I wear it everyday.,34421424,4,Aurora,2904388,8/5/14 19:36,Easy to use and set up
Avatar 3d is the best movie to purchase for 3d viewing.,34421378,5,Kkjacks,6673368,8/5/14 19:32,Great 3d movie
this is the first cd with the new singer and it is as good as all the others,34421377,5,jediknight67,9481349,8/5/14 19:32,awesome cd
"Standard HDMI cables...nothing fancy about them, they get the job done",34421352,4,GuestCustomer123456789,6187128,8/5/14 19:31,Good cables
"As expected, more violent action scenes of slicing and dicing humans apart.",34421342,4,GuestCustomer123456789,5836383,8/5/14 19:29,Great sequel
This charger does exactly what it is supposed to do. Cheaper than the apple brand too.,34421320,5,millertime199,1383676,8/5/14 19:28,charges my iPhone
It fulfiulls all the needs I have for when I'm driving and need to charge my phone.,34421291,5,bestbye,5019341,8/5/14 19:25,Works great
"I bought it just to charge my phone while driving, and it definitely serves that purpose well.",34421263,5,bestbye,5457047,8/5/14 19:23,Works great
Apple Macbooks are always a good choice for college bound students.,34421260,5,Diehard,5430505,8/5/14 19:23,Great laptop for college bound kids
this was an impulse buy but well worth it. 5 great movies in one,34421230,5,adams,6131097,8/5/14 19:20,great set of movies
this is a great movie for the whole family. it's animated for kids but funny for adults,34421220,4,adams,2217169,8/5/14 19:18,great movie for kids and adults
Love the all-in one for a desktop. Great screen and apps takes up much less room on desk,34421204,5,becky,3199396,8/5/14 19:17,beautiful big screen
"Another fine Netgear product, would recommend it highly.",34421186,5,hurry4,6263799,8/5/14 19:16,"Easy setup, speeds that I wanted, works fine"
Great story and a great reboot! This was a fantastic movie!,34421160,5,Rafi,6621184,8/5/14 19:14,Fantastic movie!
